suburb,address,sale_price,sale_date,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,building_size_sqm,station_min,description,listing_url
Cronulla,10 Portsmouth Street,3600000,28/02/2026,House,4,2,3.0,575.4,,2,"Rarely in today's real estate market is such a special residence offered for sale on the exclusive South Cronulla peninsula. This superbly maintained family home has truly stood the test of time and is presented in indisputably impeccable condition. A seamless blend of charming detail and graceful interiors creates a choice of formal and informal living areas, with effortless flow to outdoor entertaining and a garden-lovers' rear yard.",https://www.realestate.com.au/sold/property-house-nsw-cronulla-150120000
Cronulla,7/22-24 Franklin Road,1825000,25/02/2026,Townhouse,2,2,2.0,186.0,,1,"Bathed in natural light with a northern aspect, this freshly presented freestanding townhouse offers exceptional space and privacy in a boutique block of seven. High ceilings, entertainer's courtyard and generous 186sqm on title, close to transport, restaurants and cafes with a leafy outlook throughout.",https://www.realestate.com.au/sold/property-townhouse-nsw-cronulla-150201476
Cronulla,2/23 Gosport Street,960000,21/02/2026,Unit,3,1,,,97.0,3,"Positioned in a highly desirable location, this spacious, light-filled ground floor apartment offers an exceptional lifestyle opportunity. Featuring a sun-drenched open living and dining area with a prized north aspect, modern kitchen, and three generous bedrooms with oversized windows, it perfectly blends comfort, style, and convenience.",https://www.realestate.com.au/sold/property-unit-nsw-cronulla-150014328
Cronulla,3/32-36 Flinders Road,2150000,13/02/2026,Villa,3,2,2.0,235.0,,1,"A hard to resist 3-bedroom villa, beautifully updated in warm, coastal tones. Granite kitchen, ducted air-conditioning, built-in robes, 2-car garage, courtyard, sunroom & open-plan lounge/dining. Only minutes to the beach, trains, doctor, post office, cafes & schools.",https://www.realestate.com.au/sold/property-villa-nsw-cronulla-150100596
Cronulla,7 Howie Avenue,3008000,07/02/2026,House,3,1,2.0,581.7,,2,"Nestled on a generous 581.7sqm block set in R3 zoning with a commanding 21.34m frontage, this well-loved, full brick family home presents an exceptional opportunity for families and developers in a sought-after coastal setting. Move in and enjoy as is, personalise to your taste, or take advantage of the potential to renovate, rebuild, or create a cutting-edge architecturally designed dream home or duplex (STCA).",https://www.realestate.com.au/sold/property-house-nsw-cronulla-149954696
Cronulla,8 Alfred Avenue,2560000,06/12/2025,House,2,1,1.0,568.0,,2,"Light-filled and thoughtfully updated, this two bedroom home offers an effortless indoor-outdoor lifestyle with a calm, coastal feel throughout. The main living area flows to a charming front porch, perfect for slow mornings or relaxed afternoons. Both bedrooms are well-sized, with the main featuring a built-in robe, and the bathroom has been beautifully modernised with a freestanding bath and matte black finishes, adding a touch of everyday luxury.",https://www.realestate.com.au/sold/property-house-nsw-cronulla-149601884
Cronulla,12 Bate Bay Road,2415000,29/11/2025,House,3,2,1.0,,,4,"Situated in one of Cronulla's most desirable beachside pockets, this low maintenance home would suit young families or downsizers which blends easy-care comfort with an enviable location.",https://www.realestate.com.au/sold/property-house-nsw-cronulla-149489452
Cronulla,46 Kirkwood Road,3850000,22/11/2025,House,4,2,2.0,714.3,,5,"Oozing timeless Hamptons charm enhanced by sleek modern finishes, this beautifully renovated home delivers effortless family living across a functional single-level floorplan. Featuring bright and airy interiors that connect seamlessly to a covered alfresco overlooking a sparkling in-ground pool and level yard, offering an inviting space for children to play, making it a true family haven.",https://www.realestate.com.au/sold/property-house-nsw-cronulla-149409028
Cronulla,41 Sturt Road,3100000,21/11/2025,Duplex/semi-detached,4,3,4.0,,,2,"Step into a world of unparalleled beachside opulence with this architectural masterpiece that redefines coastal sophistication. Seamlessly blending contemporary elegance with timeless design, every element has been thoughtfully crafted to elevate everyday living. At the heart of the home, expansive open plan living and dining areas flow effortlessly to a private, covered alfresco space and a sun-drenched, sparkling in-ground swimming pool, perfect for year-round entertaining. Positioned just moments from pristine beaches, renowned schools, scenic golf courses, and vibrant local amenities, this exceptional residence offers the ultimate balance of tranquillity and convenience in one of Cronulla's most coveted locations.",https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cronulla-148774300
Cronulla,175 Ewos Parade,4805000,15/11/2025,House,3,2,4.0,638.0,,3,"Step into a world of timeless style and effortless beachside living with this beautifully maintained Californian Bungalow. Built in 1923 and located in South Cronulla, very sought after & tightly held peninsular.",https://www.realestate.com.au/sold/property-house-nsw-cronulla-149364444
